the	the
renaissance	renaissance
in	in
childrens	childrens
literature	literature
is	is
turning	turn↓ing
out	out
to	to
be	be
one	one
of	of
the	the
most	most
striking	strike↓ing
cultural	culture↓al
characteristics	character↓istic↓s
of	of
our	our
times	time↓s
whether	whether
we	we
are	are
reassessing	re↓assess↓ing
the	the
achievements	achieve↓ment↓s
of	of
the	the
past	past
as	as
with	with
the	the
film	film
of	of
the	the
lord	lord
of	of
the	the
rings	ring↓s
or	or
falling	fall↓ing
in	in
love	love
with	with
current	current
childheroes	childheroe↓s
like	like
harry	harry
potter	pot↓er
there	there
has	have↓s
never	never
been	be↓en
another	an↓other
time	time
when	when
childrens	childrens
literature	literature
could	could
command	command
such	such
attention	attention
about	about
six	six
months	month↓s
ago	ago
i	i
wrote	wrote
on	on
these	these
pages	page↓s
that	that
philip	philip
pullmans	pullman↓s
novel	novel
the	the
amber	amber
spyglass	spyglass
would	would
be	be
a	a
worthy	worth↓y
winner	win↓er
of	of
the	the
booker	book↓er
prize	prize
in	in
the	the
event	event
it	it
didnt	didnt
make	make
the	the
shortlist	short↓le↓ist
but	but
it	it
lived	live↓ed
to	to
fight	fight
another	an↓other
day	day
on	on
tuesday	tuesday
night	night
pullman	pullman
walked	walk↓ed
away	away
with	with
the	the
whitbread	whit↓bread
prize	prize
that	that
prize	prize
thrives	thrife↓s
on	on
the	the
neat	neat
concept	concept
of	of
first	first
dividing	divide↓ing
books	book↓s
up	up
into	in↓to
categories	category↓s
novel	novel
of	of
the	the
year	year
childrens	children↓s
book	book
of	of
the	the
year	year
and	and
so	so
on	on
and	and
then	then
breaking	break↓ing
down	down
the	the
categories	category↓s
for	for
its	it↓s
overall	over↓all
prize	prize
that	that
meant	meant
that	that
these	these
judges	judge↓s
could	could
give	give
the	the
award	award
to	to
philip	philip
pullman	pullman
without	with↓out
being	be↓ing
accused	accuse↓ed
of	of
dumbing	dumb↓ing
down	down
to	to
the	the
level	level
of	of
a	a
childrens	children↓s
book	book
peculiarly	peculiar↓ly
this	this
still	still
seems	seem↓s
to	to
be	be
a	a
very	very
real	real
fear	fear
although	although
we	we
are	are
currently	current↓ly
seeing	see↓ing
such	such
an	an
unexpected	un↓expect↓ed
outpouring	out↓pour↓ing
of	of
energy	energy
in	in
literature	literature
for	for
children	children
many	many
commentators	comment↓ator↓s
are	are
still	still
afraid	afraid
to	to
admit	admit
that	that
these	these
books	book↓s
can	can
stand	stand
alongside	along↓side
other	other
literature	literature
novelists	novelic↓ist↓s
such	such
as	as
philip	philip
hensher	hen↓sher
and	and
howard	howard
jacobson	jacobb↓son
have	have
mocked	mock↓ed
the	the
adults	adult↓s
who	who
eagerly	eager↓ly
turn	turn
the	the
pages	page↓s
of	of
the	the
harry	harry
potter	pot↓er
books	book↓s
or	or
even	even
worse	bad↓ly
queue	queue
up	up
to	to
see	see
the	the
film	film
without	with↓out
the	the
excuse	excuse
of	of
a	a
sevenyearold	sevenyearold
child	child
by	by
their	their
side	side
and	and
when	when
peter	peter
jacksons	jackson↓s
film	film
of	of
the	the
lord	lord
of	of
the	the
rings	ring↓s
was	was
released	re↓lease↓ed
sceptical	sceptic↓al
critics	critic↓s
such	such
as	as
mark	mark
lawson	law↓son
thomas	thomas
sutcliffe	sutcliffe
and	and
david	david
sexton	sex↓ton
poured	pour↓ed
scorn	scorn
on	on
people	people
who	who
took	took
their	their
childish	child↓ish
delights	delight↓s
into	in↓to
adulthood	adult↓hood
they	they
seem	seem
to	to
believe	believe
that	that
people	people
who	who
sink	sink
into	in↓to
tales	tale↓s
that	that
shrug	shrug
off	off
the	the
adult	adult
world	world
are	are
absurd	absurd
or	or
even	even
a	a
bit	bit
dangerous	danger↓ous
in	in
one	one
critics	critic↓s
words	word↓s
we	we
are	are
proof	proof
of	of
the	the
infantilisation	infantilisate↓ion
of	of
adult	adult
culture	culture
but	but
these	these
critics	critic↓s
who	who
are	are
proud	proud
to	to
be	be
too	too
sophisticated	sophisticate↓ed
to	to
enjoy	en↓joy
a	a
book	book
where	where
a	a
bear	bear
talks	talk↓s
or	or
a	a
dragon	dragon
flies	fly↓s
might	might
be	be
missing	miss↓ing
out	out
they	they
neednt	neednt
be	be
afraid	afraid
that	that
they	they
will	will
lose	lose
their	their
critical	critic↓al
edge	edge
if	if
they	they
let	let
down	down
their	their
guard	guard
against	again↓st
childish	child↓ish
things	thing↓s
for	for
an	an
instant	instant
do	do
we	we
still	still
have	have
to	to
spell	spell
it	it
out	out
it	it
really	real↓ly
is	is
possible	possible
to	to
like	like
rowling	rowl↓ing
and	and
roth	roth
to	to
enjoy	en↓joy
pullman	pullman
as	as
well	well
as	as
proust	proust
what	what
is	is
endearing	en↓dear↓ing
about	about
the	the
new	new
breed	breed
of	of
childrens	children↓s
writers	write↓er↓s
is	is
that	that
they	they
are	are
firing	fire↓ing
a	a
new	new
bolt	bolt
of	of
energy	energy
into	in↓to
literature	literature
nave	nave
yes	ye↓s
they	they
may	may
be	be
nave	nave
but	but
what	what
they	they
dont	dont
suffer	suffer
from	from
is	is
the	the
deadening	dead↓en↓ing
claustrophobia	claustrophobia
of	of
so	so
much	much
acclaimed	acclaim↓ed
literature	literature
for	for
grownups	grownup↓s
readers	read↓er↓s
who	who
fell	fell
on	on
hyped	hype↓ed
novels	novel↓s
such	such
as	as
jonathan	jonathan
franzens	franzen↓s
the	the
corrections	correct↓ion↓s
or	or
margaret	margaret
atwoods	atwood↓s
the	the
blind	blind
assassin	assassin
only	one↓ly
to	to
find	find
them	them
imaginatively	imagine↓ative↓ly
underpowered	under↓power↓ed
will	will
know	know
what	what
i	i
mean	mean
when	when
i	i
say	say
that	that
even	even
the	the
biggest	big↓est
novels	novel↓s
today	today
can	can
seem	seem
much	much
smaller	small↓er
than	than
life	life
still	still
perhaps	perhaps
those	those
novels	novel↓s
honestly	honest↓ly
reflect	reflect
the	the
problematic	problemate↓ic
aspects	aspect↓s
of	of
our	our
current	current
condition	condition
whereas	where↓as
the	the
childrens	children↓s
writers	write↓er↓s
have	have
the	the
liberty	liberty
of	of
escapism	escape↓ism
that	that
may	may
be	be
true	true
but	but
sometimes	sometime↓s
it	it
is	is
worth	worth
going	go↓ing
on	on
these	these
journeys	jour↓ney↓s
not	not
just	just
to	to
escape	escape
but	but
also	also
to	to
return	re↓turn
im	im
sure	sure
im	im
not	not
alone	alone
in	in
saying	say↓ing
that	that
after	after
stepping	step↓ing
into	in↓to
rowlings	row↓ling↓s
world	world
or	or
into	in↓to
pullmans	pullman↓s
world	world
both	both
of	of
which	which
thrive	thrive
on	on
the	the
staggeringly	stag↓er↓ing↓ly
precise	precise
and	and
sensual	sense↓ual
detailing	detail↓ing
of	of
their	their
fantasy	fantasy
universes	universe↓s
i	i
found	found
that	that
the	the
everyday	every↓day
world	world
had	have↓ed
juddered	judder↓ed
a	a
little	little
without	with↓out
doubt	doubt
they	they
do	do
lack	lack
other	other
qualities	quality↓s
that	that
you	you
look	look
for	for
in	in
literature	literature
that	that
isnt	isnt
meant	meant
for	for
children	children
but	but
still	still
rowling	rowl↓ing
and	and
pullman	pullman
can	can
achieve	achieve
that	that
precious	precious
effect	effect
on	on
the	the
reader	read↓er
of	of
tearing	tear↓ing
away	away
the	the
veils	veil↓s
of	of
familiarity	familiar↓ity
and	and
reawakening	re↓awaken↓ing
one	one
to	to
the	the
oddness	odd↓ness
and	and
beauty	beauty
of	of
ordinary	ordinary
life	life
and	and
lets	let↓s
not	not
sidestep	sidestep
what	what
is	is
perhaps	perhaps
the	the
most	most
obvious	obvious
point	point
of	of
these	these
books	book↓s
appeal	appeal
as	as
with	with
j	j
k	k
rowling	rowl↓ing
pullman	pullman
fulfils	fulfil↓s
an	an
often	often
unassuaged	un↓assuage↓ed
longing	long↓ing
in	in
this	this
secular	secular
age	age
he	he
describes	describe↓s
a	a
great	great
battle	battle
between	between
good	good
and	and
evil	evil
a	a
battle	battle
where	where
everything	every↓thing
is	is
at	at
stake	stake
where	where
you	you
have	have
to	to
take	take
sides	side↓s
for	for
some	some
people	people
this	this
is	is
just	just
too	too
simple	simple
to	to
be	be
enjoyable	en↓joy↓able
they	they
recognise	re↓cognise
that	that
morality	moral↓ity
is	is
always	always
about	about
shades	shade↓s
of	of
grey	grey
and	and
they	they
dont	dont
like	like
being	be↓ing
seduced	seduce↓ed
into	in↓to
these	these
grand	grand
images	image↓s
of	of
deep	deep
black	black
and	and
dazzling	dazzle↓ing
white	white
but	but
i	i
find	find
this	this
engagement	en↓gage↓ment
with	with
ethical	ethicus↓al
themes	theme↓s
intriguing	intrigue↓ing
and	and
pullmans	pullman↓s
moral	moral
vision	vision
is	is
the	the
most	most
refreshing	re↓fresh↓ing
ive	ive
seen	see↓en
in	in
a	a
childrens	children↓s
book	book
for	for
a	a
long	long
time	time
because	because
unlike	un↓like
so	so
many	many
others	other↓s
he	he
does	do↓s
moral	moral
fervour	fervour
without	with↓out
falling	fall↓ing
into	in↓to
a	a
sub	sub
christian	Christ↓ian
message	message
on	on
the	the
contrary	contrary
his	his
work	work
contains	contain↓s
the	the
most	most
impassioned	impassion↓ed
cry	cry
to	to
accept	accept
the	the
death	death
of	of
god	god
since	since
nietzsche	nietzsche
no	no
wonder	wonder
christians	Christ↓ian↓s
have	have
shied	shy↓ed
away	away
from	from
his	his
books	book↓s
the	the
amazon	amazon
website	web↓site
where	where
readers	read↓er↓s
can	can
post	post
opinions	opinion↓s
contains	contain↓s
hundreds	hundred↓s
of	of
reviews	re↓view↓s
from	from
the	the
united	unite↓ed
states	state↓s
many	many
of	of
them	them
from	from
parents	parent↓s
who	who
call	call
his	his
vision	vision
satanic	satanic
and	and
dark	dark
and	and
terrifying	terrify↓ing
and	and
warn	warn
other	other
families	family↓s
off	off
them	them
the	the
same	same
can	can
be	be
heard	heard
here	here
claudia	claud↓ia
fitzherbert	fitzherbert
wrote	wrote
in	in
a	a
newspaper	new↓s↓paper
yesterday	yester↓day
christian	Christ↓ian
parents	parent↓s
beware	be↓ware
his	his
books	book↓s
can	can
damage	damage
your	your
childs	child↓s
faith	faith
indeed	in↓deed
they	they
can	can
many	many
writers	write↓er↓s
who	who
have	have
tried	try↓ed
to	to
preach	preach
their	their
atheism	athe↓ism
in	in
their	their
literature	literature
like	like
writers	write↓er↓s
who	who
have	have
tried	try↓ed
to	to
preach	preach
their	their
religion	religion
have	have
ended	end↓ed
up	up
weakening	weak↓en↓ing
their	their
vision	vision
but	but
here	here
the	the
loss	loss
of	of
faith	faith
is	is
made	made
vivid	vivid
and	and
energetic	energy↓etic
the	the
thrust	thrust
of	of
the	the
trilogy	trilogy
that	that
is	is
completed	complete↓ed
by	by
the	the
amber	amber
spyglass	spyglass
is	is
to	to
rerun	rerun
the	the
fall	fall
but	but
this	this
time	time
sexuality	sex↓ual↓ity
and	and
knowledge	knowledge
are	are
good	good
and	and
authority	authority
is	is
bad	bad
the	the
priests	priest↓s
and	and
the	the
church	church
are	are
the	the
embodiment	embodiment
of	of
evil	evil
the	the
aim	aim
of	of
the	the
child	child
protagonists	protagon↓ist↓s
is	is
hardly	hard↓ly
unambitious	un↓ambition↓ous
it	it
is	is
to	to
destroy	destroy
the	the
dream	dream
of	of
the	the
kingdom	king↓dom
of	of
heaven	heaven
and	and
instead	in↓stead
to	to
put	put
ones	one↓s
faith	faith
in	in
building	build↓ing
the	the
republic	re↓public
of	of
heaven	heaven
in	in
ones	one↓s
own	own
lifetime	life↓time
isnt	isnt
this	this
is	is
a	a
great	great
vision	vision
for	for
the	the
world	world
after	after
11	11
september	september
here	here
we	we
have	have
a	a
book	book
that	that
asks	ask↓s
us	us
to	to
believe	believe
that	that
we	we
can	can
build	build
a	a
new	new
highly	high↓ly
moral	moral
world	world
without	with↓out
the	the
precepts	precept↓s
of	of
religion	religion
sure	sure
pullman	pullman
ends	end↓s
up	up
having	have↓ing
his	his
cake	cake
and	and
eating	eat↓ing
it	it
after	after
all	all
a	a
fantasy	fantasy
that	that
includes	include↓s
angels	angel↓s
witches	witch↓s
embodied	embody↓ed
souls	soul↓s
and	and
the	the
possibility	possible↓ity
of	of
movement	move↓ment
between	between
parallel	parallel
worlds	world↓s
is	is
hardly	hard↓ly
a	a
secular	secular
universe	universe
this	this
is	is
still	still
a	a
childrens	children↓s
book	book
and	and
it	it
retains	retain↓s
comforting	comfort↓ing
childish	child↓ish
elements	element↓s
so	so
it	it
can	can
alleviate	alleviate
the	the
dreariness	dreary↓ness
of	of
rationalism	ration↓al↓ism
with	with
magic	magic
flowers	flow↓er↓s
and	and
talking	talk↓ing
bears	bear↓s
nevertheless	nevertheless
its	it↓s
fascinating	fascinate↓ing
that	that
such	such
a	a
book	book
has	have↓s
found	found
such	such
an	an
audience	audience
now	now
we	we
have	have
all	all
learnt	learnt
not	not
to	to
ask	ask
