if	if
you	you
were	were
to	to
journey	journey
to	to
the	the
north	north
of	of
england	en↓gland
you	you
would	would
come	come
to	to
a	a
valley	valley
that	that
is	is
surrounded	surround↓ed
by	by
moors	moor↓s
as	as
high	high
as	as
mountains	mountain↓s
it	it
is	is
in	in
this	this
valley	valley
where	where
you	you
would	would
find	find
the	the
city	city
of	of
bradford	bradford
where	where
once	once
a	a
thousand	thousand
spinning	spin↓ing
jennies	jennies
that	that
hummed	hum↓ed
and	and
clattered	clatter↓ed
spun	spun
wool	wool
into	in↓to
money	money
for	for
the	the
longbearded	long↓beard↓ed
mill	mill
owners	own↓er↓s
that	that
all	all
mill	mill
owners	own↓er↓s
were	were
generally	general↓ly
busy	busy
as	as
beavers	beaver↓s
and	and
quite	quite
pleased	please↓ed
with	with
themselves	them↓selves
for	for
being	be↓ing
so	so
successful	success↓ful
and	and
well	well
off	off
was	was
known	known
to	to
the	the
residents	resident↓s
of	of
bradford	bradford
and	and
if	if
you	you
were	were
to	to
go	go
into	in↓to
the	the
city	city
to	to
visit	visit
the	the
stately	state↓ly
city	city
hall	hall
you	you
would	would
see	see
there	there
the	the
crest	crest
of	of
the	the
city	city
of	of
bradford	bradford
which	which
those	those
same	same
mill	mill
owners	own↓er↓s
created	create↓ed
to	to
celebrate	celebrate
their	their
achievements	achieve↓ment↓s
it	it
shows	show↓s
a	a
sinister	sinister
looking	look↓ing
boars	boar↓s
head	head
sitting	sit↓ing
on	on
top	top
of	of
a	a
well	well
which	which
seems	seem↓s
puzzling	puzzle↓ing
at	at
first	first
but	but
the	the
reason	reason
for	for
this	this
symbol	symbol
is	is
a	a
matter	matter
of	of
legend	legend
there	there
was	was
once	once
legend	legend
has	have↓s
it	it
a	a
fearsome	fear↓some
boar	boar
which	which
lived	live↓ed
in	in
a	a
wood	wood
located	locate↓ed
just	just
outside	out↓er↓side
the	the
manor	manor
of	of
bradford	bradford
a	a
source	source
of	of
great	great
trouble	trouble
to	to
the	the
local	local
folk	folk
the	the
boar	boar
was	was
bringing	bring↓ing
terror	terror
to	to
the	the
peaceful	peace↓ful
flocks	flock↓s
and	and
ravaging	ravage↓ing
the	the
countryside	country↓side
around	a↓round
even	even
worse	bad↓ly
however	how↓ever
the	the
boar	boar
most	most
liked	like↓ed
to	to
go	go
to	to
the	the
well	well
that	that
was	was
in	in
the	the
wood	wood
and	and
drink	drink
its	it↓s
fresh	fresh
water	water
so	so
that	that
the	the
people	people
of	of
bradford	bradford
had	have↓ed
second	second
thoughts	thought↓s
about	about
visiting	visit↓ing
the	the
well	well
that	that
the	the
people	people
of	of
bradford	bradford
bore	bore
the	the
brunt	brunt
of	of
the	the
beasts	beast↓s
ferocity	ferocity
was	was
unfair	un↓fair
in	in
the	the
eyes	eye↓s
of	of
the	the
people	people
of	of
the	the
region	region
eventually	event↓ual↓ly
the	the
issue	issue
reached	reach↓ed
the	the
ears	ear↓s
of	of
the	the
kindly	kind↓ly
lord	lord
of	of
the	the
manor	manor
who	who
the	the
people	people
had	have↓ed
often	often
asked	ask↓ed
for	for
help	help
the	the
lord	lord
saw	saw
the	the
severity	severity
of	of
the	the
problem	problem
the	the
people	people
faced	face↓ed
and	and
suggested	suggest↓ed
a	a
contest	contest
could	could
solve	solve
the	the
problem	problem
he	he
said	say↓ed
that	that
whoever	who↓ever
could	could
kill	kill
the	the
boar	boar
and	and
bring	bring
as	as
proof	proof
its	it↓s
head	head
to	to
the	the
manor	manor
house	house
would	would
be	be
rewarded	reward↓ed
with	with
land	land
and	and
fame	fame
it	it
was	was
the	the
people	people
of	of
bradford	bradford
and	and
the	the
people	people
who	who
knew	knew
them	them
who	who
rejoiced	re↓joice↓ed
at	at
this	this
proclamation	proclamate↓ion
but	but
one	one
question	question
remained	remain↓ed
who	who
would	would
kill	kill
the	the
boar	boar
by	by
the	the
handsome	hand↓some
reward	reward
many	many
felt	felt
tempted	tempt↓ed
but	but
the	the
thought	thought
of	of
the	the
boar	boar
with	with
its	it↓s
deadly	dead↓ly
tusks	tusk↓s
and	and
face	face
like	like
thunder	thund↓er
soon	soon
put	put
an	an
end	end
to	to
their	their
ambitions	ambition↓s
however	how↓ever
there	there
was	was
one	one
huntsman	huntsman
who	who
was	was
still	still
wet	wet
behind	be↓hind
the	the
ears	ear↓s
who	who
decided	decide↓ed
the	the
prize	prize
was	was
worth	worth
a	a
shot	shot
in	in
spite	spite
of	of
the	the
boars	boar↓s
reputation	repute↓ation
the	the
huntsman	huntsman
discovered	dis↓cover↓ed
the	the
boar	boar
preferred	prefer↓ed
to	to
come	come
out	out
in	in
the	the
middle	middle
of	of
the	the
day	day
so	so
he	he
went	went
to	to
the	the
wood	wood
by	by
the	the
well	well
with	with
his	his
good	good
bow	bow
to	to
bide	bide
his	his
time	time
around	a↓round
noontime	noon↓time
the	the
boar	boar
feared	fear↓ed
by	by
the	the
locals	local↓s
came	came
out	out
as	as
slow	slow
as	as
a	a
snail	snail
from	from
among	among
the	the
trees	tree↓s
just	just
as	as
the	the
huntsman	huntsman
had	have↓ed
predicted	predict↓ed
the	the
huntsman	huntsman
leaped	leap↓ed
from	from
his	his
hiding	hide↓ing
place	place
and	and
through	through
the	the
heart	heart
with	with
his	his
fine	fine
arrows	a↓rrow↓s
shot	shot
the	the
boar	boar
now	now
the	the
problem	problem
was	was
no	no
longer	longer
to	to
kill	kill
the	the
boar	boar
it	it
was	was
to	to
find	find
a	a
way	way
to	to
carry	carry
the	the
boar	boar
back	back
the	the
head	head
was	was
too	too
heavy	heave↓y
for	for
the	the
little	little
huntsman	huntsman
to	to
carry	carry
back	back
to	to
the	the
manor	manor
house	house
but	but
the	the
huntsman	huntsman
who	who
was	was
as	as
quickwitted	quickwit↓ed
and	and
cunning	cun↓ing
as	as
ever	ever
asked	ask↓ed
himself	him↓self
what	what
else	else
can	can
i	i
do	do
to	to
prove	prove
i	i
killed	kill↓ed
the	the
boar	boar
the	the
next	next
instance	instance
he	he
opened	open↓ed
the	the
boars	boar↓s
mouth	mouth
and	and
cut	cut
out	out
its	it↓s
tongue	tongue
taking	take↓ing
that	that
as	as
proof	proof
for	for
the	the
lord	lord
he	he
set	set
out	out
for	for
the	the
manor	manor
house	house
as	as
quickly	quick↓ly
as	as
he	he
could	could
and	and
he	he
had	have↓ed
only	one↓ly
been	be↓en
gone	go↓ne
a	a
few	few
minutes	minute↓s
when	when
a	a
second	second
huntsman	huntsman
not	not
so	so
bold	bold
as	as
the	the
first	first
but	but
a	a
little	little
more	more
cunning	cun↓ing
came	came
on	on
the	the
scene	scene
seeing	see↓ing
the	the
slain	slain
carcass	car↓cass
of	of
the	the
boar	boar
the	the
huntsman	huntsman
rejoiced	re↓joice↓ed
in	in
his	his
good	good
fortune	fortune
the	the
second	second
huntsman	huntsman
knew	knew
a	a
shortcut	short↓cut
to	to
the	the
manor	manor
house	house
was	was
just	just
around	a↓round
the	the
nearby	near↓ly↓by
pond	pond
and	and
being	be↓ing
a	a
bigger	big↓er
man	man
than	than
the	the
first	first
was	was
able	able
to	to
pick	pick
up	up
the	the
boars	boar↓s
head	head
and	and
carry	carry
it	it
through	through
the	the
wood	wood
towards	toward↓s
the	the
prize	prize
that	that
awaited	a↓wait↓ed
him	him
the	the
lord	lord
of	of
the	the
manor	manor
was	was
seated	seat↓ed
in	in
his	his
hall	hall
when	when
the	the
second	second
huntsman	huntsman
burst	burst
through	through
the	the
door	door
and	and
began	began
to	to
spin	spin
a	a
line	line
the	the
woes	woe↓s
