token,transcript_id,sentence_id,surprisal,oov,rt,token_uid,exclude_rt,word_length,log_freq,word,prev_freq_1,prev_len_1,prev_surprisal_1,prev_freq_2,prev_len_2,prev_surprisal_2,prev_freq_3,prev_len_3,prev_surprisal_3
to,1,0,2.490550506563315,False,354.639534883721,10004,0,2,-2.120854,to,-2.6691818,4.0,5.126860834714879,-2.7033205,3.0,1.6465137373726344,-2.916307,2.0,7.212704252123884
journey,1,0,16.95878671983003,False,349.674157303371,10005,0,7,-4.1395907,journey,-2.120854,2.0,2.490550506563315,-2.6691818,4.0,5.126860834714879,-2.7033205,3.0,1.6465137373726344
to,1,0,3.4267596439432806,False,376.370786516854,10006,0,2,-2.120854,to,-4.1395907,7.0,16.95878671983003,-2.120854,2.0,2.490550506563315,-2.6691818,4.0,5.126860834714879
the,1,0,1.865720845471927,False,327.310344827586,10007,0,3,-2.2181478,the,-2.120854,2.0,3.4267596439432806,-4.1395907,7.0,16.95878671983003,-2.120854,2.0,2.490550506563315
north,1,0,9.055172296315831,False,365.494382022472,10008,0,5,-3.7637749,north,-2.2181478,3.0,1.865720845471927,-2.120854,2.0,3.4267596439432806,-4.1395907,7.0,16.95878671983003
would,1,0,7.006795278455524,False,350.379310344828,10012,0,5,-2.7413328,would,-2.7033205,3.0,11.492117034263355,-4.5100183,7.0,4.080185199569246,-2.1558447,2.0,3.0234455012794688
come,1,0,6.745282494517411,False,319.080459770115,10013,0,4,-3.4261858,come,-2.7413328,5.0,7.006795278455524,-2.7033205,3.0,11.492117034263355,-4.5100183,7.0,4.080185199569246
to,1,0,3.334769734914052,False,355.931034482759,10014,0,2,-2.120854,to,-3.4261858,4.0,6.745282494517411,-2.7413328,5.0,7.006795278455524,-2.7033205,3.0,11.492117034263355
a,1,0,4.730090669522421,False,343.858823529412,10015,0,1,-2.3968077,a,-2.120854,2.0,3.334769734914052,-3.4261858,4.0,6.745282494517411,-2.7413328,5.0,7.006795278455524
valley,1,0,15.294903325825452,False,330.732558139535,10016,0,6,-4.0886517,valley,-2.3968077,1.0,4.730090669522421,-2.120854,2.0,3.334769734914052,-3.4261858,4.0,6.745282494517411
that,1,0,8.651657775279826,False,346.779069767442,10017,0,4,-2.2774231,that,-4.0886517,6.0,15.294903325825452,-2.3968077,1.0,4.730090669522421,-2.120854,2.0,3.334769734914052
is,1,0,6.148952498821384,False,360.287356321839,10018,0,2,-2.223688,is,-2.2774231,4.0,8.651657775279826,-4.0886517,6.0,15.294903325825452,-2.3968077,1.0,4.730090669522421
surrounded,1,0,13.54986748309171,False,337.046511627907,10019,0,10,-4.404237,surrounded,-2.223688,2.0,6.148952498821384,-2.2774231,4.0,8.651657775279826,-4.0886517,6.0,15.294903325825452
by,1,0,0.4024265971565397,False,359.364705882353,10020,0,2,-2.485721,by,-4.404237,10.0,13.54986748309171,-2.223688,2.0,6.148952498821384,-2.2774231,4.0,8.651657775279826
moors,1,0,20.38815722268216,False,395.43023255814,10021,0,5,-5.416809,moors,-2.485721,2.0,0.4024265971565397,-4.404237,10.0,13.54986748309171,-2.223688,2.0,6.148952498821384
as,1,0,8.779682922914848,False,414.597701149425,10022,0,2,-2.3785224,as,-5.416809,5.0,20.38815722268216,-2.485721,2.0,0.4024265971565397,-4.404237,10.0,13.54986748309171
high,1,0,8.81330372093711,False,390.953488372093,10023,0,4,-3.3223193,high,-2.3785224,2.0,8.779682922914848,-5.416809,5.0,20.38815722268216,-2.485721,2.0,0.4024265971565397
is,1,1,2.3717380119929565,False,325.247058823529,10027,0,2,-2.223688,is,-2.6222126,2.0,6.308283005067171,-4.3571777,9.0,15.378731182227629,-2.3785224,2.0,0.651470381479494
in,1,1,6.743548785992775,False,318.267441860465,10028,0,2,-2.0439873,in,-2.223688,2.0,2.3717380119929565,-2.6222126,2.0,6.308283005067171,-4.3571777,9.0,15.378731182227629
this,1,1,3.336641649074844,False,341.223529411765,10029,0,4,-2.7346632,this,-2.0439873,2.0,6.743548785992775,-2.223688,2.0,2.3717380119929565,-2.6222126,2.0,6.308283005067171
valley,1,1,14.253070432010968,False,375.8,10030,0,6,-4.0886517,valley,-2.7346632,4.0,3.336641649074844,-2.0439873,2.0,6.743548785992775,-2.223688,2.0,2.3717380119929565
where,1,1,8.473524570436926,False,363.129411764706,10031,0,5,-3.0848649,where,-4.0886517,6.0,14.253070432010968,-2.7346632,4.0,3.336641649074844,-2.0439873,2.0,6.743548785992775
you,1,1,4.595157616107654,False,365.436781609195,10032,0,3,-2.7033205,you,-3.0848649,5.0,8.473524570436926,-4.0886517,6.0,14.253070432010968,-2.7346632,4.0,3.336641649074844
would,1,1,5.894722637102675,False,323.558139534884,10033,0,5,-2.7413328,would,-2.7033205,3.0,4.595157616107654,-3.0848649,5.0,8.473524570436926,-4.0886517,6.0,14.253070432010968
find,1,1,6.012489283291681,False,305.329411764706,10034,0,4,-3.8471112,find,-2.7413328,5.0,5.894722637102675,-2.7033205,3.0,4.595157616107654,-3.0848649,5.0,8.473524570436926
the,1,1,5.082096860773318,False,355.857142857143,10035,0,3,-2.2181478,the,-3.8471112,4.0,6.012489283291681,-2.7413328,5.0,5.894722637102675,-2.7033205,3.0,4.595157616107654
city,1,1,9.762440629363434,False,320.298850574713,10036,0,4,-3.5701954,city,-2.2181478,3.0,5.082096860773318,-3.8471112,4.0,6.012489283291681,-2.7413328,5.0,5.894722637102675
once,1,1,10.515948053815883,False,353.954022988506,10040,0,4,-3.35508,once,-3.0848649,5.0,11.164245744735249,-5.165077,8.0,20.715597659109577,-2.1558447,2.0,2.7176017745262646
a,1,1,4.914902889435328,False,397.413793103448,10041,0,1,-2.3968077,a,-3.35508,4.0,10.515948053815883,-3.0848649,5.0,11.164245744735249,-5.165077,8.0,20.715597659109577
thousand,1,1,11.8767603478912,False,455.139534883721,10042,0,8,-4.5391574,thousand,-2.3968077,1.0,4.914902889435328,-3.35508,4.0,10.515948053815883,-3.0848649,5.0,11.164245744735249
spinning,1,1,17.09588037482324,False,459.02380952381,10043,0,8,-4.595388,spinning,-4.5391574,8.0,11.8767603478912,-2.3968077,1.0,4.914902889435328,-3.35508,4.0,10.515948053815883
clattered,1,1,18.84500456995724,False,414.811764705882,10048,0,9,-5.7388277,clattered,-1.8514401,3.0,7.1867532729013295,-5.272954,6.0,17.65855393207507,-2.2774231,4.0,7.565435923963436
