token,transcript_id,sentence_id,surprisal,oov,rt,token_uid,exclude_rt,word_length,log_freq,word,prev_freq_1,prev_len_1,prev_surprisal_1,prev_freq_2,prev_len_2,prev_surprisal_2,prev_freq_3,prev_len_3,prev_surprisal_3
to,1,0,2.490623371425931,False,354.639534883721,10004,0,2,-2.120854,to,-2.6691818,4.0,5.154401772760278,-2.7033205,3.0,1.6320807525066934,-2.916307,2.0,7.219502068600329
journey,1,0,17.18602688202922,False,349.674157303371,10005,0,7,-4.1395907,journey,-2.120854,2.0,2.490623371425931,-2.6691818,4.0,5.154401772760278,-2.7033205,3.0,1.6320807525066934
to,1,0,3.5732635583405266,False,376.370786516854,10006,0,2,-2.120854,to,-4.1395907,7.0,17.18602688202922,-2.120854,2.0,2.490623371425931,-2.6691818,4.0,5.154401772760278
the,1,0,1.9353337175889769,False,327.310344827586,10007,0,3,-2.2181478,the,-2.120854,2.0,3.5732635583405266,-4.1395907,7.0,17.18602688202922,-2.120854,2.0,2.490623371425931
north,1,0,8.892316160331621,False,365.494382022472,10008,0,5,-3.7637749,north,-2.2181478,3.0,1.9353337175889769,-2.120854,2.0,3.5732635583405266,-4.1395907,7.0,17.18602688202922
would,1,0,6.999341678215535,False,350.379310344828,10012,0,5,-2.7413328,would,-2.7033205,3.0,12.29773946768313,-4.5100183,7.0,4.125477053947658,-2.1558447,2.0,3.1085277025312963
come,1,0,6.746400811756691,False,319.080459770115,10013,0,4,-3.4261858,come,-2.7413328,5.0,6.999341678215535,-2.7033205,3.0,12.29773946768313,-4.5100183,7.0,4.125477053947658
to,1,0,3.3725426420913607,False,355.931034482759,10014,0,2,-2.120854,to,-3.4261858,4.0,6.746400811756691,-2.7413328,5.0,6.999341678215535,-2.7033205,3.0,12.29773946768313
a,1,0,4.77672536961071,False,343.858823529412,10015,0,1,-2.3968077,a,-2.120854,2.0,3.3725426420913607,-3.4261858,4.0,6.746400811756691,-2.7413328,5.0,6.999341678215535
valley,1,0,15.42566407384608,False,330.732558139535,10016,0,6,-4.0886517,valley,-2.3968077,1.0,4.77672536961071,-2.120854,2.0,3.3725426420913607,-3.4261858,4.0,6.746400811756691
that,1,0,8.682220625100348,False,346.779069767442,10017,0,4,-2.2774231,that,-4.0886517,6.0,15.42566407384608,-2.3968077,1.0,4.77672536961071,-2.120854,2.0,3.3725426420913607
is,1,0,6.170545446451065,False,360.287356321839,10018,0,2,-2.223688,is,-2.2774231,4.0,8.682220625100348,-4.0886517,6.0,15.42566407384608,-2.3968077,1.0,4.77672536961071
surrounded,1,0,13.589005418429004,False,337.046511627907,10019,0,10,-4.404237,surrounded,-2.223688,2.0,6.170545446451065,-2.2774231,4.0,8.682220625100348,-4.0886517,6.0,15.42566407384608
by,1,0,0.3988602531861172,False,359.364705882353,10020,0,2,-2.485721,by,-4.404237,10.0,13.589005418429004,-2.223688,2.0,6.170545446451065,-2.2774231,4.0,8.682220625100348
moors,1,0,18.653004864954767,False,395.43023255814,10021,0,5,-5.416809,moors,-2.485721,2.0,0.3988602531861172,-4.404237,10.0,13.589005418429004,-2.223688,2.0,6.170545446451065
as,1,0,8.858456967487104,False,414.597701149425,10022,0,2,-2.3785224,as,-5.416809,5.0,18.653004864954767,-2.485721,2.0,0.3988602531861172,-4.404237,10.0,13.589005418429004
high,1,0,9.393219322310136,False,390.953488372093,10023,0,4,-3.3223193,high,-2.3785224,2.0,8.858456967487104,-5.416809,5.0,18.653004864954767,-2.485721,2.0,0.3988602531861172
is,1,1,3.075363497914448,False,325.247058823529,10027,0,2,-2.223688,is,-2.6222126,2.0,5.614101834952899,-4.3571777,9.0,15.390955054940836,-2.3785224,2.0,0.6515015668486843
in,1,1,6.748782383951106,False,318.267441860465,10028,0,2,-2.0439873,in,-2.223688,2.0,3.075363497914448,-2.6222126,2.0,5.614101834952899,-4.3571777,9.0,15.390955054940836
this,1,1,3.3174065133582906,False,341.223529411765,10029,0,4,-2.7346632,this,-2.0439873,2.0,6.748782383951106,-2.223688,2.0,3.075363497914448,-2.6222126,2.0,5.614101834952899
valley,1,1,14.236054902571382,False,375.8,10030,0,6,-4.0886517,valley,-2.7346632,4.0,3.3174065133582906,-2.0439873,2.0,6.748782383951106,-2.223688,2.0,3.075363497914448
where,1,1,8.425919262858029,False,363.129411764706,10031,0,5,-3.0848649,where,-4.0886517,6.0,14.236054902571382,-2.7346632,4.0,3.3174065133582906,-2.0439873,2.0,6.748782383951106
