,token,transcript_id,sentence_id,surprisal,oov
0,if,1,0,7.212704252123884,False
1,you,1,0,1.6465137373726344,False
2,were,1,0,5.126860834714879,False
3,to,1,0,2.490550506563315,False
4,journey,1,0,16.95878671983003,False
5,to,1,0,3.4267596439432806,False
6,the,1,0,1.865720845471927,False
7,north,1,0,9.055172296315833,False
8,of,1,0,3.0234455012794688,False
9,england,1,0,4.080185199569246,False
10,you,1,0,11.492117034263357,False
11,would,1,0,7.006795278455524,False
12,come,1,0,6.745282494517411,False
13,to,1,0,3.334769734914052,False
14,a,1,0,4.730090669522421,False
15,valley,1,0,15.294903325825453,False
16,that,1,0,8.651657775279826,False
17,is,1,0,6.148952498821384,False
18,surrounded,1,0,13.54986748309171,False
19,by,1,0,0.4024265971565397,False
20,moors,1,0,20.388157222682157,False
21,as,1,0,8.779682922914848,False
22,high,1,0,8.81330372093711,False
23,as,1,0,0.651470381479494,False
24,mountains,1,0,15.378731182227629,False
25,it,1,1,6.308283005067171,False
26,is,1,1,2.3717380119929565,False
27,in,1,1,6.743548785992775,False
28,this,1,1,3.336641649074844,False
29,valley,1,1,14.253070432010967,False
30,where,1,1,8.473524570436926,False
31,you,1,1,4.595157616107654,False
32,would,1,1,5.894722637102675,False
33,find,1,1,6.012489283291681,False
34,the,1,1,5.082096860773318,False
35,city,1,1,9.762440629363434,False
36,of,1,1,2.7176017745262646,False
37,bradford,1,1,20.715597659109577,False
38,where,1,1,11.164245744735249,False
39,once,1,1,10.515948053815883,False
40,a,1,1,4.914902889435328,False
41,thousand,1,1,11.876760347891201,False
42,spinning,1,1,17.09588037482324,False
43,jennies,1,1,21.875615776068425,True
44,that,1,1,7.565435923963436,False
45,hummed,1,1,17.65855393207507,False
46,and,1,1,7.1867532729013295,False
47,clattered,1,1,18.84500456995724,False
48,spun,1,1,16.62672886873901,False
49,wool,1,1,7.877378320916191,False
50,into,1,1,10.03853509792788,False
51,money,1,1,13.338771640018217,False
52,for,1,1,4.702287180368793,False
53,the,1,1,2.9321109800090954,False
54,longbearded,1,1,24.99208713464127,True
55,mill,1,1,15.384259407673929,False
56,owners,1,1,14.602549321342217,False
57,that,1,2,7.234381548752137,False
58,all,1,2,8.018512015737702,False
59,mill,1,2,18.888432028076362,False
60,owners,1,2,14.602549321342217,False
61,were,1,2,5.99917798170487,False
62,generally,1,2,10.095926473359853,False
63,busy,1,2,15.265589474791296,False
64,as,1,2,7.7850894283474235,False
65,beavers,1,2,20.14611123720315,False
66,and,1,2,5.462852596377787,False
67,quite,1,2,12.276228493023892,False
68,pleased,1,2,9.28527161236332,False
69,with,1,2,1.7443667928131483,False
70,themselves,1,2,13.859220009384092,False
71,for,1,2,6.0514212961911475,False
72,being,1,2,9.300872613056903,False
73,so,1,2,4.358969331975474,False
74,successful,1,2,8.761347905854414,False
75,and,1,2,5.956448283846234,False
76,well,1,2,10.782692059684198,False
77,off,1,2,8.063178968530671,False
78,was,1,2,9.9196299382605,False
79,known,1,2,10.178376233447334,False
80,to,1,2,2.0423630926640177,False
81,the,1,2,4.675398462044745,False
82,residents,1,2,14.238445186868937,False
83,of,1,2,1.1194157562848484,False
84,bradford,1,2,21.196838396313048,False
85,and,1,2,7.066897701982436,False
86,if,1,2,9.425936437634086,False
87,you,1,2,2.6247218449604635,False
88,were,1,2,5.132713784005445,False
89,to,1,2,4.070209445470556,False
90,go,1,2,5.536876168711232,False
91,into,1,2,5.86169347008448,False
92,the,1,2,1.309587206643395,False
93,city,1,2,7.32688507586187,False
94,to,1,2,5.555169605279412,False
95,visit,1,2,8.40626396616737,False
96,the,1,2,2.793178873251245,False
97,stately,1,2,20.65585005578323,False
98,city,1,2,12.337966415912781,False
99,hall,1,2,5.336717183114523,False
100,you,1,2,11.490592416214055,False
101,would,1,2,7.006795278455524,False
102,see,1,2,6.1995488298097285,False
103,there,1,2,9.875570456659123,False
104,the,1,2,7.905611079151752,False
105,crest,1,2,15.397614269776435,False
106,of,1,2,0.40568222594853803,False
107,the,1,2,1.6016604643738999,False
108,city,1,2,8.467826854984105,False
109,of,1,2,3.0406457669060645,False
110,bradford,1,2,20.608513239382887,False
111,which,1,2,11.029193889914042,False
112,those,1,2,11.390654297089363,False
113,same,1,2,8.249836570290267,False
114,mill,1,2,16.250838050728223,False
115,owners,1,2,14.602549321342217,False
116,created,1,2,14.180264178088834,False
117,to,1,2,5.688909496568842,False
118,celebrate,1,2,11.367620288399575,False
119,their,1,2,5.778548325764641,False
120,achievements,1,2,15.832275351543265,False
121,it,1,3,6.308283005067171,False
122,shows,1,3,8.964198931321034,False
123,a,1,3,3.3904697743230194,False
124,sinister,1,3,14.884281312646886,False
125,looking,1,3,12.693641986603895,False
126,boars,1,3,23.13126902521074,True
127,head,1,3,11.954361426577215,False
128,sitting,1,3,14.770639055284757,False
129,on,1,3,2.9473773567412067,False
130,top,1,3,4.566062359661345,False
131,of,1,3,0.13050452061225915,False
132,a,1,3,3.0027002016847306,False
133,well,1,3,9.548224269347475,False
134,which,1,3,12.022665107195307,False
135,seems,1,3,9.578450515183086,False
136,puzzling,1,3,19.588504955940635,False
137,at,1,3,8.923529249850052,False
138,first,1,3,7.22956454772572,False
139,but,1,3,5.567360609603503,False
140,the,1,3,5.436083075464867,False
141,reason,1,3,10.353724733323304,False
142,for,1,3,3.2285484074051403,False
143,this,1,3,3.212810191087122,False
144,symbol,1,3,13.969592852041018,False
145,is,1,3,6.770646594792156,False
146,a,1,3,4.429931392064983,False
147,matter,1,3,8.12227395613098,False
148,of,1,3,0.202192246917621,False
149,legend,1,3,17.941581650719304,False
150,there,1,4,7.751664256641098,False
151,was,1,4,2.60016836628232,False
152,once,1,4,13.500130878281297,False
153,legend,1,4,17.731683325822715,False
154,has,1,4,4.10101702618834,False
155,it,1,4,0.5886731460498549,False
156,a,1,4,9.773739435125169,False
157,fearsome,1,4,19.113709591041175,False
158,boar,1,4,20.581567496383748,False
159,which,1,4,10.73885513271755,False
160,lived,1,4,13.628441149291772,False
161,in,1,4,3.0327025068692026,False
162,a,1,4,3.2553761410072157,False
163,wood,1,4,14.99663259472571,False
164,located,1,4,15.666579069935784,False
165,just,1,4,6.322345527547366,False
166,outside,1,4,4.979673812230608,False
167,the,1,4,1.0005162396842733,False
168,manor,1,4,16.417628889293695,False
169,of,1,4,5.234244237981109,False
170,bradford,1,4,19.727806733074857,False
171,a,1,5,6.214634232399364,False
172,source,1,5,10.694166003662044,False
173,of,1,5,1.2779671233067387,False
174,great,1,5,6.384037117887745,False
175,trouble,1,5,15.55182166337188,False
176,to,1,5,6.136490627290612,False
177,the,1,5,5.100536423071418,False
178,local,1,5,9.155119919553039,False
179,folk,1,5,10.410603678688835,False
180,the,1,5,8.930730991108389,False
181,boar,1,5,22.467520815379284,False
182,was,1,5,8.57084193053557,False
183,bringing,1,5,12.148021183232329,False
184,terror,1,5,10.87380006627296,False
185,to,1,5,2.505751344519541,False
186,the,1,5,5.131863957944717,False
187,peaceful,1,5,13.874486782120892,False
188,flocks,1,5,20.31441322965853,False
189,and,1,5,6.931746845989197,False
190,ravaging,1,5,22.900767368400114,False
191,the,1,5,7.768257645083134,False
192,countryside,1,5,13.357930346829962,False
193,around,1,5,8.462119635418771,False
194,even,1,6,8.942855862649564,False
195,worse,1,6,8.490656525254819,False
196,however,1,6,18.937351279210475,False
197,the,1,6,6.732374325703115,False
198,boar,1,6,22.69570822079248,False
199,most,1,6,11.650610782603124,False
200,liked,1,6,13.586855904981833,False
201,to,1,6,3.217570365440792,False
202,go,1,6,7.68520674987907,False
203,to,1,6,3.1681976889387706,False
204,the,1,6,2.242850960154219,False
205,well,1,6,11.631814816085708,False
206,that,1,6,8.259577493608894,False
207,was,1,6,6.532729750196287,False
208,in,1,6,5.659971057979032,False
209,the,1,6,1.812479005164528,False
210,wood,1,6,14.45353750925504,False
211,and,1,6,4.488559490137987,False
212,drink,1,6,12.637957391377764,False
213,its,1,6,12.194080488508765,False
214,fresh,1,6,14.235403870864097,False
215,water,1,6,5.473923699443846,False
216,so,1,6,8.702888901783243,False
217,that,1,6,1.6741040770028768,False
218,the,1,6,3.4097199582177216,False
219,people,1,6,7.7712712407598055,False
220,of,1,6,2.5403223557909724,False
221,bradford,1,6,21.487886001901295,False
222,had,1,6,6.481993629553033,False
223,second,1,6,15.058049753817215,False
224,thoughts,1,6,8.742541643215107,False
225,about,1,6,2.580623752901993,False
226,visiting,1,6,12.294985651081872,False
227,the,1,6,3.454417007366989,False
228,well,1,6,11.947414712338034,False
229,that,1,7,7.234381548752137,False
230,the,1,7,4.644515640436215,False
231,people,1,7,8.251135465667334,False
232,of,1,7,3.0367496747818943,False
233,bradford,1,7,21.487886001901295,False
234,bore,1,7,16.153883430923905,False
235,the,1,7,3.2554973184417837,False
236,brunt,1,7,6.355149367898016,False
237,of,1,7,0.1830732890764481,False
238,the,1,7,1.2765596236439514,False
239,beasts,1,7,17.74742530418527,False
240,ferocity,1,7,19.120262676620357,False
241,was,1,7,9.19825512621232,False
242,unfair,1,7,14.087721050510288,False
243,in,1,7,8.853914001704874,False
244,the,1,7,3.261147711334371,False
245,eyes,1,7,10.10825805934823,False
246,of,1,7,0.2633122539912702,False
