token,transcript_id,sentence_id,surprisal,oov,rt,token_uid,exclude_rt,word_length,log_freq,word,prev_freq_1,prev_len_1,prev_surprisal_1,prev_freq_2,prev_len_2,prev_surprisal_2,prev_freq_3,prev_len_3,prev_surprisal_3
to,1,0,2.504140991455259,False,354.639534883721,10004,0,2,-2.120854,to,-2.6691818,4.0,5.184589606141139,-2.7033205,3.0,1.6383974232870595,-2.916307,2.0,7.216379175629734
journey,1,0,16.749030956621173,False,349.674157303371,10005,0,7,-4.1395907,journey,-2.120854,2.0,2.504140991455259,-2.6691818,4.0,5.184589606141139,-2.7033205,3.0,1.6383974232870595
to,1,0,3.59220644259724,False,376.370786516854,10006,0,2,-2.120854,to,-4.1395907,7.0,16.749030956621173,-2.120854,2.0,2.504140991455259,-2.6691818,4.0,5.184589606141139
the,1,0,1.9030692356235603,False,327.310344827586,10007,0,3,-2.2181478,the,-2.120854,2.0,3.59220644259724,-4.1395907,7.0,16.749030956621173,-2.120854,2.0,2.504140991455259
north,1,0,9.041967915994816,False,365.494382022472,10008,0,5,-3.7637749,north,-2.2181478,3.0,1.9030692356235603,-2.120854,2.0,3.59220644259724,-4.1395907,7.0,16.749030956621173
would,1,0,7.089938046747233,False,350.379310344828,10012,0,5,-2.7413328,would,-2.7033205,3.0,11.895641059411878,-4.5100183,7.0,4.885898714067289,-2.1558447,2.0,3.7609214679423375
come,1,0,6.751786475515263,False,319.080459770115,10013,0,4,-3.4261858,come,-2.7413328,5.0,7.089938046747233,-2.7033205,3.0,11.895641059411878,-4.5100183,7.0,4.885898714067289
to,1,0,3.615339452459059,False,355.931034482759,10014,0,2,-2.120854,to,-3.4261858,4.0,6.751786475515263,-2.7413328,5.0,7.089938046747233,-2.7033205,3.0,11.895641059411878
a,1,0,4.855047968838497,False,343.858823529412,10015,0,1,-2.3968077,a,-2.120854,2.0,3.615339452459059,-3.4261858,4.0,6.751786475515263,-2.7413328,5.0,7.089938046747233
valley,1,0,15.253411538621911,False,330.732558139535,10016,0,6,-4.0886517,valley,-2.3968077,1.0,4.855047968838497,-2.120854,2.0,3.615339452459059,-3.4261858,4.0,6.751786475515263
that,1,0,9.126076143716189,False,346.779069767442,10017,0,4,-2.2774231,that,-4.0886517,6.0,15.253411538621911,-2.3968077,1.0,4.855047968838497,-2.120854,2.0,3.615339452459059
is,1,0,6.231565808845064,False,360.287356321839,10018,0,2,-2.223688,is,-2.2774231,4.0,9.126076143716189,-4.0886517,6.0,15.253411538621911,-2.3968077,1.0,4.855047968838497
surrounded,1,0,13.725376364866372,False,337.046511627907,10019,0,10,-4.404237,surrounded,-2.223688,2.0,6.231565808845064,-2.2774231,4.0,9.126076143716189,-4.0886517,6.0,15.253411538621911
by,1,0,0.4159493157462272,False,359.364705882353,10020,0,2,-2.485721,by,-4.404237,10.0,13.725376364866372,-2.223688,2.0,6.231565808845064,-2.2774231,4.0,9.126076143716189
moors,1,0,22.022611726290677,False,395.43023255814,10021,0,5,-5.416809,moors,-2.485721,2.0,0.4159493157462272,-4.404237,10.0,13.725376364866372,-2.223688,2.0,6.231565808845064
as,1,0,7.817164224067226,False,414.597701149425,10022,0,2,-2.3785224,as,-5.416809,5.0,22.022611726290677,-2.485721,2.0,0.4159493157462272,-4.404237,10.0,13.725376364866372
high,1,0,8.070608016479996,False,390.953488372093,10023,0,4,-3.3223193,high,-2.3785224,2.0,7.817164224067226,-5.416809,5.0,22.022611726290677,-2.485721,2.0,0.4159493157462272
is,1,1,3.127739671973594,False,325.247058823529,10027,0,2,-2.223688,is,-2.6222126,2.0,5.563527680227089,-4.3571777,9.0,15.766364430252029,-2.3785224,2.0,0.550307023849727
in,1,1,6.205054086984116,False,318.267441860465,10028,0,2,-2.0439873,in,-2.223688,2.0,3.127739671973594,-2.6222126,2.0,5.563527680227089,-4.3571777,9.0,15.766364430252029
this,1,1,4.0042073440998776,False,341.223529411765,10029,0,4,-2.7346632,this,-2.0439873,2.0,6.205054086984116,-2.223688,2.0,3.127739671973594,-2.6222126,2.0,5.563527680227089
valley,1,1,13.781427264429023,False,375.8,10030,0,6,-4.0886517,valley,-2.7346632,4.0,4.0042073440998776,-2.0439873,2.0,6.205054086984116,-2.223688,2.0,3.127739671973594
where,1,1,8.633267317563055,False,363.129411764706,10031,0,5,-3.0848649,where,-4.0886517,6.0,13.781427264429023,-2.7346632,4.0,4.0042073440998776,-2.0439873,2.0,6.205054086984116
you,1,1,4.850349373213831,False,365.436781609195,10032,0,3,-2.7033205,you,-3.0848649,5.0,8.633267317563055,-4.0886517,6.0,13.781427264429023,-2.7346632,4.0,4.0042073440998776
would,1,1,5.842001740962512,False,323.558139534884,10033,0,5,-2.7413328,would,-2.7033205,3.0,4.850349373213831,-3.0848649,5.0,8.633267317563055,-4.0886517,6.0,13.781427264429023
find,1,1,6.039342757198486,False,305.329411764706,10034,0,4,-3.8471112,find,-2.7413328,5.0,5.842001740962512,-2.7033205,3.0,4.850349373213831,-3.0848649,5.0,8.633267317563055
the,1,1,5.4574087199300605,False,355.857142857143,10035,0,3,-2.2181478,the,-3.8471112,4.0,6.039342757198486,-2.7413328,5.0,5.842001740962512,-2.7033205,3.0,4.850349373213831
city,1,1,9.683300676459346,False,320.298850574713,10036,0,4,-3.5701954,city,-2.2181478,3.0,5.4574087199300605,-3.8471112,4.0,6.039342757198486,-2.7413328,5.0,5.842001740962512
once,1,1,10.367359966745006,False,353.954022988506,10040,0,4,-3.35508,once,-3.0848649,5.0,11.165067850467809,-5.165077,8.0,20.602034602685077,-2.1558447,2.0,2.496326036937352
a,1,1,5.201676416424585,False,397.413793103448,10041,0,1,-2.3968077,a,-3.35508,4.0,10.367359966745006,-3.0848649,5.0,11.165067850467809,-5.165077,8.0,20.602034602685077
thousand,1,1,11.995914198502728,False,455.139534883721,10042,0,8,-4.5391574,thousand,-2.3968077,1.0,5.201676416424585,-3.35508,4.0,10.367359966745006,-3.0848649,5.0,11.165067850467809
spinning,1,1,18.153193487901426,False,459.02380952381,10043,0,8,-4.595388,spinning,-4.5391574,8.0,11.995914198502728,-2.3968077,1.0,5.201676416424585,-3.35508,4.0,10.367359966745006
clattered,1,1,19.72817660145357,False,414.811764705882,10048,0,9,-5.7388277,clattered,-1.8514401,3.0,6.5907678012839765,-5.272954,6.0,18.01020470911837,-2.2774231,4.0,8.070417934229694
spun,1,1,18.12197921036893,False,453.964705882353,10049,0,4,-4.7479453,spun,-5.7388277,9.0,19.72817660145357,-1.8514401,3.0,6.5907678012839765,-5.272954,6.0,18.01020470911837
wool,1,1,7.968768282842902,False,426.872093023256,10050,0,4,-4.8429117,wool,-4.7479453,4.0,18.12197921036893,-5.7388277,9.0,19.72817660145357,-1.8514401,3.0,6.5907678012839765
into,1,1,13.694659865226857,False,392.559523809524,10051,0,4,-2.7449481,into,-4.8429117,4.0,7.968768282842902,-4.7479453,4.0,18.12197921036893,-5.7388277,9.0,19.72817660145357
money,1,1,12.179603349120098,False,384.206896551724,10052,0,5,-3.5337334,money,-2.7449481,4.0,13.694659865226857,-4.8429117,4.0,7.968768282842902,-4.7479453,4.0,18.12197921036893
for,1,1,5.158690899537417,False,385.471264367816,10053,0,3,-2.26804,for,-3.5337334,5.0,12.179603349120098,-2.7449481,4.0,13.694659865226857,-4.8429117,4.0,7.968768282842902
all,1,2,8.124856698706965,False,439.011494252874,10059,0,3,-2.8034134,all,-2.2774231,4.0,7.238352683764708,-4.1105576,6.0,20.038439146519277,-4.6311235,4.0,14.794904638554629
mill,1,2,16.65023887506393,False,429.528735632184,10060,0,4,-4.6311235,mill,-2.8034134,3.0,8.124856698706965,-2.2774231,4.0,7.238352683764708,-4.1105576,6.0,20.038439146519277
owners,1,2,19.38579015608674,False,381.528735632184,10061,0,6,-4.1105576,owners,-4.6311235,4.0,16.65023887506393,-2.8034134,3.0,8.124856698706965,-2.2774231,4.0,7.238352683764708
were,1,2,5.526598263035498,False,387.197674418605,10062,0,4,-2.6691818,were,-4.1105576,6.0,19.38579015608674,-4.6311235,4.0,16.65023887506393,-2.8034134,3.0,8.124856698706965
generally,1,2,9.792535943055242,False,378.540229885057,10063,0,9,-3.96214,generally,-2.6691818,4.0,5.526598263035498,-4.1105576,6.0,19.38579015608674,-4.6311235,4.0,16.65023887506393
busy,1,2,12.458080973897712,False,369.511904761905,10064,0,4,-4.248187,busy,-3.96214,9.0,9.792535943055242,-2.6691818,4.0,5.526598263035498,-4.1105576,6.0,19.38579015608674
as,1,2,10.36385849329256,False,388.720930232558,10065,0,2,-2.3785224,as,-4.248187,4.0,12.458080973897712,-3.96214,9.0,9.792535943055242,-2.6691818,4.0,5.526598263035498
beavers,1,2,20.482671859600558,False,359.790697674419,10066,0,7,-5.3633857,beavers,-2.3785224,2.0,10.36385849329256,-4.248187,4.0,12.458080973897712,-3.96214,9.0,9.792535943055242
and,1,2,5.2646839303436215,False,362.505747126437,10067,0,3,-1.8514401,and,-5.3633857,7.0,20.482671859600558,-2.3785224,2.0,10.36385849329256,-4.248187,4.0,12.458080973897712
quite,1,2,13.167646926145848,False,385.735632183908,10068,0,5,-3.7562575,quite,-1.8514401,3.0,5.2646839303436215,-5.3633857,7.0,20.482671859600558,-2.3785224,2.0,10.36385849329256
pleased,1,2,9.964918915417353,False,343.93023255814,10069,0,7,-4.5868955,pleased,-3.7562575,5.0,13.167646926145848,-1.8514401,3.0,5.2646839303436215,-5.3633857,7.0,20.482671859600558
with,1,2,1.8688009699362045,False,370.379310344828,10070,0,4,-2.3359656,with,-4.5868955,7.0,9.964918915417353,-3.7562575,5.0,13.167646926145848,-1.8514401,3.0,5.2646839303436215
themselves,1,2,14.504796356086628,False,371.470588235294,10071,0,10,-3.4113393,themselves,-2.3359656,4.0,1.8688009699362045,-4.5868955,7.0,9.964918915417353,-3.7562575,5.0,13.167646926145848
for,1,2,6.050145369085992,False,349.058139534884,10072,0,3,-2.26804,for,-3.4113393,10.0,14.504796356086628,-2.3359656,4.0,1.8688009699362045,-4.5868955,7.0,9.964918915417353
being,1,2,9.826442486304073,False,339.46511627907,10073,0,5,-3.2419686,being,-2.26804,3.0,6.050145369085992,-3.4113393,10.0,14.504796356086628,-2.3359656,4.0,1.8688009699362045
so,1,2,4.282536071114756,False,345.964705882353,10074,0,2,-2.8486075,so,-3.2419686,5.0,9.826442486304073,-2.26804,3.0,6.050145369085992,-3.4113393,10.0,14.504796356086628
successful,1,2,8.905731747278024,False,380.476744186047,10075,0,10,-4.1190653,successful,-2.8486075,2.0,4.282536071114756,-3.2419686,5.0,9.826442486304073,-2.26804,3.0,6.050145369085992
and,1,2,5.932111419732498,False,362.952941176471,10076,0,3,-1.8514401,and,-4.1190653,10.0,8.905731747278024,-2.8486075,2.0,4.282536071114756,-3.2419686,5.0,9.826442486304073
well,1,2,11.112921161125431,False,361.27380952381,10077,0,4,-3.3329673,well,-1.8514401,3.0,5.932111419732498,-4.1190653,10.0,8.905731747278024,-2.8486075,2.0,4.282536071114756
off,1,2,8.140096543124972,False,357.091954022988,10078,0,3,-3.0705445,off,-3.3329673,4.0,11.112921161125431,-1.8514401,3.0,5.932111419732498,-4.1190653,10.0,8.905731747278024
was,1,2,9.69353185358188,False,353.413793103448,10079,0,3,-2.3915732,was,-3.0705445,3.0,8.140096543124972,-3.3329673,4.0,11.112921161125431,-1.8514401,3.0,5.932111419732498
known,1,2,10.182680012397936,False,357.023255813953,10080,0,5,-3.7844818,known,-2.3915732,3.0,9.69353185358188,-3.0705445,3.0,8.140096543124972,-3.3329673,4.0,11.112921161125431
to,1,2,2.151297646293654,False,344.453488372093,10081,0,2,-2.120854,to,-3.7844818,5.0,10.182680012397936,-2.3915732,3.0,9.69353185358188,-3.0705445,3.0,8.140096543124972
